soc,title,employment,median_wage,aioe,gpt_beta_model,gpt_beta_human,soc_major
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",409670,61010.0,-0.8491,0.1053,0.1404,49
49-9031,Home Appliance Repairers,32150,50990.0,-0.9704,0.1455,0.1091,49
49-9041,Industrial Machinery Mechanics,439640,64520.0,-1.1332,0.2742,0.1452,49
49-9043,"Maintenance Workers, Machinery",60020,60850.0,-0.9735,0.1429,0.1143,49
49-9044,Millwrights,40330,65700.0,-1.2661,0.0217,0.0435,49
49-9045,"Refractory Materials Repairers, Except Brickmasons",1080,61290.0,-1.2375,0.0,0.0,49
49-9051,Electrical Power-Line Installers and Repairers,131070,95320.0,-1.0814,0.0,0.0,49
49-9052,Telecommunications Line Installers and Repairers,97720,74330.0,-1.0839,0.0312,0.0312,49
49-9061,Camera and Photographic Equipment Repairers,1650,52720.0,0.0546,0.24,0.04,49
49-9062,Medical Equipment Repairers,65990,61660.0,-0.2769,0.303,0.2727,49
49-9063,Musical Instrument Repairers and Tuners,5380,46420.0,-0.5306,0.0196,0.0,49
49-9064,Watch and Clock Repairers,1310,67230.0,-0.2124,0.2,0.1667,49
49-9069,"Precision Instrument and Equipment Repairers, All Other",9400,68990.0,,,,49
49-9071,"Maintenance and Repair Workers, General",1529700,49590.0,-1.0144,0.1373,0.0784,49
49-9081,Wind Turbine Service Technicians,9980,64120.0,-0.971,0.0435,0.0435,49
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",26410,47450.0,-0.7234,0.3214,0.1964,49
49-9092,Commercial Divers,3450,72990.0,-1.1027,0.0667,0.0889,49
49-9094,Locksmiths and Safe Repairers,15040,51320.0,-0.8657,0.08,0.08,49
49-9095,Manufactured Building and Mobile Home Installers,3020,45990.0,-1.4141,0.0769,0.1154,49
49-9096,Riggers,22530,62640.0,-1.2215,0.0,0.037,49
49-9097,Signal and Track Switch Repairers,8720,92460.0,-0.8582,0.0769,0.0385,49
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",95580,39630.0,-1.3466,0.0333,0.0,49
49-9099,"Installation, Maintenance, and Repair Workers, All Other",176300,49230.0,-0.5901,0.2097,0.3065,49
51-1011,First-Line Supervisors of Production and Operating Workers,673430,74450.0,-0.0845,0.4,0.225,51
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",34020,65380.0,-0.8685,0.025,0.025,51
51-2021,"Coil Winders, Tapers, and Finishers",12840,48220.0,-0.829,0.2222,0.1389,51
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",246970,45850.0,,,,51
51-2031,Engine and Other Machine Assemblers,34000,53710.0,-0.9561,0.0952,0.0,51
51-2041,Structural Metal Fabricators and Fitters,52360,51330.0,-1.0763,0.0227,0.0227,51
51-2051,Fiberglass Laminators and Fabricators,16170,46880.0,,0.0208,0.0833,51
51-2061,Timing Device Assemblers and Adjusters,250,62620.0,,0.06,0.0,51
51-2090,Miscellaneous Assemblers and Fabricators,1405030,44650.0,,,,51
51-3011,Bakers,236200,37160.0,-0.3853,0.2647,0.1176,51
51-3021,Butchers and Meat Cutters,136430,40140.0,-0.971,0.1316,0.0263,51
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",145700,38300.0,-1.1056,0.0,0.0,51
51-3023,Slaughterers and Meat Packers,69950,40130.0,-1.8347,0.0,0.0,51
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20370,44810.0,-0.7589,0.0667,0.0667,51
51-3092,Food Batchmakers,174520,42290.0,-0.3791,0.1154,0.1538,51
51-3093,Food Cooking Machine Operators and Tenders,31250,41590.0,-0.556,0.129,0.0323,51
51-3099,"Food Processing Workers, All Other",65000,39680.0,,,,51
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",60840,47720.0,-1.2344,0.0208,0.0833,51
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8930,49030.0,-0.8047,0.0417,0.0417,51
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",25250,50140.0,-1.0892,0.1765,0.0735,51
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",171200,46330.0,-1.0366,0.01,0.02,51
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4680,49080.0,-0.7598,0.0303,0.0,51
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",67000,46550.0,-0.9902,0.0645,0.0645,51
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16710,50620.0,-1.0673,0.1613,0.0323,51
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",12460,52800.0,-0.8703,0.2414,0.069,51
51-4041,Machinists,287050,58750.0,-0.8676,0.2347,0.1327,51
51-4051,Metal-Refining Furnace Operators and Tenders,16780,54430.0,-1.1675,0.1042,0.0417,51
51-4052,"Pourers and Casters, Metal",4560,51810.0,-1.0091,0.0,0.0,51
51-4061,"Model Makers, Metal and Plastic",2610,63340.0,-0.7422,0.1613,0.0968,51
51-4062,"Patternmakers, Metal and Plastic",1470,58000.0,-0.6131,0.1522,0.1304,51
51-4071,Foundry Mold and Coremakers,12790,48110.0,-1.7403,0.0,0.0,51
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",150470,44350.0,-1.1461,0.0814,0.0349,51
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",124590,47180.0,-0.7427,0.1026,0.141,51
51-4111,Tool and Die Makers,56930,64050.0,-0.5318,0.1875,0.1094,51
51-4121,"Welders, Cutters, Solderers, and Brazers",416210,53750.0,-1.1976,0.0882,0.0392,51
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",31600,47920.0,-1.0024,0.0682,0.0568,51
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14000,48750.0,-1.0925,0.1765,0.0588,51
51-4192,"Layout Workers, Metal and Plastic",5970,63870.0,-0.7221,0.1304,0.1522,51
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32410,43960.0,-0.9,0.1042,0.0417,51
51-4194,"Tool Grinders, Filers, and Sharpeners",5600,50060.0,-0.8809,0.0333,0.0,51
51-4199,"Metal Workers and Plastic Workers, All Other",15900,45950.0,,,,51
51-5111,Prepress Technicians and Workers,23840,48690.0,0.4108,0.4375,0.1094,51
51-5112,Printing Press Operators,144260,45780.0,-0.7094,0.2875,0.125,51
51-5113,Print Binding and Finishing Workers,33180,42290.0,-0.9062,0.0897,0.0641,51
51-6011,Laundry and Dry-Cleaning Workers,198040,34890.0,-1.0544,0.05,0.05,51
51-6021,"Pressers, Textile, Garment, and Related Materials",26120,35060.0,-1.9501,0.0104,0.0208,51
51-6031,Sewing Machine Operators,104880,36670.0,-0.964,0.0814,0.0233,51
51-6041,Shoe and Leather Workers and Repairers,7450,37800.0,-0.9909,0.0588,0.0588,51
51-6042,Shoe Machine Operators and Tenders,3280,35650.0,-1.0299,0.087,0.0217,51
51-6051,"Sewers, Hand",2190,36480.0,-0.5987,0.0417,0.0417,51
51-6052,"Tailors, Dressmakers, and Custom Sewers",13920,41640.0,-0.4305,0.0909,0.0682,51
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,5310,38180.0,-0.8609,0.1579,0.1184,51
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",9000,38760.0,-1.0229,0.1607,0.1429,51
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",13030,39530.0,-1.2417,0.1562,0.125,51
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22020,38670.0,-1.3929,0.0857,0.0714,51
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12850,46350.0,-0.8597,0.069,0.0862,51
51-6092,Fabric and Apparel Patternmakers,2950,62750.0,-0.0831,0.4688,0.1875,51
51-6093,Upholsterers,20140,46340.0,-1.3137,0.1912,0.0882,51
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",13530,37280.0,,,,51
51-7011,Cabinetmakers and Bench Carpenters,77170,46680.0,-1.3275,0.1176,0.0441,51
51-7021,Furniture Finishers,14480,44540.0,-1.1977,0.0286,0.0714,51
51-7031,"Model Makers, Wood",280,56550.0,-0.7279,0.1538,0.1538,51
51-7032,"Patternmakers, Wood",220,49630.0,-1.0579,0.2564,0.2821,51
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",40850,42770.0,-1.165,0.0588,0.0147,51
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",61420,43380.0,-1.1304,0.0652,0.0326,51
51-7099,"Woodworkers, All Other",5490,44530.0,,,,51
51-8011,Nuclear Power Reactor Operators,5150,122890.0,0.7705,0.3182,0.1212,51
51-8012,Power Distributors and Dispatchers,8520,106730.0,0.5012,0.375,0.25,51
51-8013,Power Plant Operators,29320,102040.0,-0.3483,0.1552,0.0914,51
51-8021,Stationary Engineers and Boiler Operators,28250,78620.0,-0.5032,0.1628,0.1047,51
51-8031,Water and Wastewater Treatment Plant and System Operators,128490,60020.0,-0.445,0.125,0.125,51
51-8091,Chemical Plant and System Operators,16610,78120.0,-0.3831,0.1515,0.1515,51
51-8092,Gas Plant Operators,18030,87820.0,-0.2982,0.0938,0.0781,51
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",33160,96710.0,-0.37,0.1951,0.1707,51
51-8099,"Plant and System Operators, All Other",14080,62470.0,-0.6702,0.0946,0.0811,51
51-9011,Chemical Equipment Operators and Tenders,139630,58040.0,-0.5115,0.1522,0.0652,51
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",60100,51610.0,-0.9379,0.1429,0.0857,51
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",26000,48540.0,-1.0435,0.1081,0.0811,51
51-9022,"Grinding and Polishing Workers, Hand",10510,42660.0,-1.1465,0.0357,0.0357,51
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",94920,48990.0,-0.8197,0.1111,0.0833,51
51-9031,"Cutters and Trimmers, Hand",6060,38020.0,-0.948,0.0,0.0,51
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",44980,46570.0,-1.0793,0.0682,0.0568,51
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58770,45760.0,-1.0422,0.075,0.075,51
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14280,48040.0,-0.9582,0.16,0.04,51
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",597370,48570.0,-0.0293,0.4167,0.1771,51
51-9071,Jewelers and Precious Stone and Metal Workers,22440,52540.0,-0.156,0.2054,0.1339,51
51-9081,Dental Laboratory Technicians,34410,49610.0,0.0013,0.0417,0.0417,51
51-9082,Medical Appliance Technicians,11280,48030.0,-0.495,0.1379,0.1034,51
51-9083,Ophthalmic Laboratory Technicians,18660,39460.0,-0.5967,0.0938,0.0625,51
51-9111,Packaging and Filling Machine Operators and Tenders,379060,43220.0,-0.9786,0.0,0.075,51
51-9123,"Painting, Coating, and Decorating Workers",7940,41600.0,-0.9706,0.0,0.0294,51
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",158740,48250.0,,0.0435,0.0109,51
51-9141,Semiconductor Processing Technicians,31460,51430.0,-0.6372,0.2344,0.0625,51
51-9151,Photographic Process Workers and Processing Machine Operators,4800,40610.0,-0.3616,0.38,0.17,51
51-9161,Computer Numerically Controlled Tool Operators,169450,50690.0,,0.25,0.18,51
51-9162,Computer Numerically Controlled Tool Programmers,28500,68120.0,,0.8036,0.3571,51
51-9191,Adhesive Bonding Machine Operators and Tenders,11500,46460.0,-1.3114,0.0645,0.0,51
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",14760,43530.0,-1.1419,0.1053,0.0526,51
51-9193,Cooling and Freezing Equipment Operators and Tenders,6900,41330.0,-0.9605,0.08,0.04,51
51-9194,Etchers and Engravers,7750,43310.0,-0.6395,0.1364,0.0303,51
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",33190,46170.0,-1.1834,0.071,0.0466,51
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",96130,50270.0,-0.874,0.0,0.0263,51
51-9197,Tire Builders,20770,57390.0,-1.6109,0.0192,0.0,51
51-9198,Helpers--Production Workers,165700,39070.0,-1.4113,0.0889,0.0556,51
51-9199,"Production Workers, All Other",251700,40110.0,-1.291,,,51
53-1041,Aircraft Cargo Handling Supervisors,9760,58170.0,,0.3,0.0,53
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",623640,62890.0,,,,53
53-2011,"Airline Pilots, Copilots, and Flight Engineers",103560,232140.0,-0.2071,0.3523,0.2273,53
53-2012,Commercial Pilots,47630,123220.0,-0.1817,0.2386,0.2159,53
53-2021,Air Traffic Controllers,22510,148080.0,1.1528,0.3409,0.3068,53
53-2022,Airfield Operations Specialists,15190,56850.0,0.4846,0.3659,0.3293,53
53-2031,Flight Attendants,131650,63580.0,-0.7621,0.1667,0.1458,53
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12630,35450.0,-0.8299,0.0909,0.0455,53
53-3031,Driver/Sales Workers,409180,38770.0,-0.7293,0.3333,0.1389,53
53-3032,Heavy and Tractor-Trailer Truck Drivers,2062040,58640.0,-1.1491,0.2788,0.1731,53
53-3033,Light Truck Drivers,983300,44860.0,-1.1205,0.3654,0.25,53
53-3051,"Bus Drivers, School",402930,47920.0,,0.3235,0.1765,53
53-3052,"Bus Drivers, Transit and Intercity",159240,59050.0,,0.2407,0.1667,53
53-3053,Shuttle Drivers and Chauffeurs,248530,37290.0,,0.25,0.1731,53
53-3054,Taxi Drivers,41050,42100.0,,0.2812,0.25,53
53-3099,"Motor Vehicle Operators, All Other",46880,37180.0,,,,53
53-4011,Locomotive Engineers,33470,81410.0,-0.4977,0.2857,0.2321,53
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3920,60600.0,-0.8321,0.2045,0.0568,53
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12400,68840.0,,0.1667,0.0417,53
53-4031,Railroad Conductors and Yardmasters,46440,78000.0,-0.4663,0.2778,0.2083,53
53-4041,Subway and Streetcar Operators,10200,86380.0,-0.6155,0.4091,0.2045,53
53-4099,"Rail Transportation Workers, All Other",1120,56360.0,,,,53
53-5011,Sailors and Marine Oilers,31670,51520.0,-1.15,0.0426,0.0106,53
53-5021,"Captains, Mates, and Pilots of Water Vessels",36850,92460.0,-0.4282,0.2636,0.2091,53
53-5022,Motorboat Operators,2480,47520.0,-0.8871,0.0,0.129,53
53-5031,Ship Engineers,8400,109530.0,-0.5265,0.1719,0.1406,53
53-6011,Bridge and Lock Tenders,3040,57700.0,-0.6322,0.2857,0.1607,53
53-6021,Parking Attendants,137880,35150.0,-0.8354,0.1071,0.125,53
53-6031,Automotive and Watercraft Service Attendants,102010,35670.0,-1.2215,0.1304,0.0652,53
53-6032,Aircraft Service Attendants,31300,40450.0,,0.1389,0.1111,53
53-6041,Traffic Technicians,7860,59090.0,0.3996,0.463,0.3889,53
53-6051,Transportation Inspectors,24500,92100.0,-0.1838,0.4126,0.2344,53
53-6061,Passenger Attendants,27110,37720.0,-0.3752,0.2222,0.1389,53
53-6099,"Transportation Workers, All Other",13550,45650.0,,,,53
53-7011,Conveyor Operators and Tenders,22930,42420.0,-0.7554,0.1034,0.1379,53
53-7021,Crane and Tower Operators,42890,68080.0,-1.0306,0.1842,0.0263,53
53-7031,Dredge Operators,1040,49640.0,-1.0166,0.0,0.0,53
53-7041,Hoist and Winch Operators,2600,56450.0,-0.9782,0.0,0.0952,53
53-7051,Industrial Truck and Tractor Operators,774420,46420.0,-1.3987,0.0312,0.0312,53
53-7061,Cleaners of Vehicles and Equipment,380430,35830.0,-1.6299,0.0833,0.0,53
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2950280,40240.0,-1.7092,0.0417,0.0409,53
53-7063,Machine Feeders and Offbearers,42330,41220.0,-1.0374,0.0909,0.0909,53
53-7064,"Packers and Packagers, Hand",559820,36280.0,-1.5136,0.1,0.1,53
53-7065,Stockers and Order Fillers,2833810,37330.0,,0.1818,0.1909,53
53-7071,Gas Compressor and Gas Pumping Station Operators,3510,77320.0,-0.691,0.2692,0.0769,53
53-7072,"Pump Operators, Except Wellhead Pumpers",9780,61770.0,-0.8423,0.25,0.1667,53
53-7073,Wellhead Pumpers,17990,69960.0,-1.0912,0.0,0.0,53
53-7081,Refuse and Recyclable Material Collectors,147240,49690.0,-1.2834,0.1964,0.2321,53
53-7121,"Tank Car, Truck, and Ship Loaders",10700,58870.0,-1.3878,0.0714,0.125,53
53-7199,"Material Moving Workers, All Other",23480,41800.0,,,,53
